,produk,umur,domisili,gender,status_perkawinan,profesi,tujuan,penghasilan,persentasi_tabungan,rate_fungsionalitas,rate_admin,rate_limit,rate_bunga,rate_setoran_awal,rate_kebutuhan,alasan_lainnya
224,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,5-10%,3.0,3.0,3.0,4.0,2.0,4.0,Keluarga saya makai produk yang sama
225,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,> 30%,3.0,4.0,3.0,3.0,1.0,3.0,Tidak ada
226,Tabungan Anak Muda,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,20-30%,3.0,2.0,3.0,3.0,1.0,3.0,Tidak ada
227,Tabungan Anak Muda,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,< 1 juta,1-5%,4.0,3.0,3.0,3.0,2.0,3.0,Kemudahan bertransaksi serta tingkat keamanan yang baik.
228,Tabungan Medium,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,> 30%,3.0,4.0,3.0,2.0,3.0,3.0,Kepercayaan terhadap bank terkait
229,Tabungan Medium,30-55 tahun,Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",> 20 juta,20-30%,3.0,3.0,4.0,1.0,2.0,3.0,Keragaman fitur
230,Tabungan Regular,21-30 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,> 30%,4.0,3.0,4.0,3.0,1.0,4.0,Tidak ada
231,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,20-30%,3.0,3.0,4.0,3.0,2.0,3.0,Tidak ada
232,Tabungan Anak Muda,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,10-20%,3.0,2.0,3.0,3.0,3.0,3.0,Tidak ada
233,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,15-20 juta,> 30%,4.0,4.0,4.0,4.0,2.0,3.0,karena kebutuhan transaksi sehari-hari
234,Tabungan Premium,30-55 tahun,Non Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Kegiatan sehari-hari,15-20 juta,20-30%,4.0,3.0,4.0,4.0,1.0,4.0,Kemudahan transaksi
235,Tabungan Online,30-55 tahun,Non Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Investasi,15-20 juta,10-20%,4.0,4.0,3.0,3.0,1.0,4.0,Promo bebas biaya transfer
236,TabunganKu,21-30 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang",1-5 juta,> 30%,3.0,3.0,3.0,3.0,3.0,3.0,Fleksible dalam menabung uang
237,Tabungan Online,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Simpanan jangka panjang,1-5 juta,> 30%,3.0,3.0,3.0,3.0,3.0,3.0,Tidak ada
238,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,20-30%,3.0,2.0,4.0,3.0,2.0,3.0,aplikasi yang user friendly 
239,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,> 30%,4.0,4.0,4.0,3.0,4.0,4.0,Bank yang terpercaya
241,Tabungan Anak Muda,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,20-30%,3.0,2.0,4.0,3.0,1.0,4.0,bisa dibuat di usia muda saat masih di bangku SMP
242,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,Simpanan jangka panjang,1-5 juta,> 30%,4.0,4.0,4.0,3.0,1.0,4.0,Memiliki sistem ranking dengan beberapa benefit jika terus menabung
243,Tabungan Anak Muda,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,1-5 juta,5-10%,4.0,4.0,3.0,3.0,2.0,4.0,Tampilan kartu /Cover saat itu sangat menarik dan banyak tema dan warnanya
244,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,5-10%,4.0,4.0,3.0,3.0,2.0,3.0,Tidak ada
245,TabunganKu,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,10-20%,3.0,3.0,4.0,2.0,2.0,4.0,Tidak ada
246,Tabungan Anak Muda,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,10-20%,4.0,4.0,4.0,3.0,1.0,3.0,Tidak ada
247,Tabungan Anak Muda,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,5-10 juta,> 30%,4.0,4.0,4.0,4.0,1.0,4.0,Syarat setoran awal ringan
248,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,20-30%,4.0,4.0,4.0,1.0,1.0,4.0,tidak ada
249,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Kegiatan sehari-hari, Lainnya",5-10 juta,1-5%,4.0,4.0,4.0,3.0,1.0,4.0,Tidak ada
250,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Investasi,5-10 juta,20-30%,4.0,4.0,3.0,3.0,4.0,4.0,Terkenal
251,Tabungan Regular,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",< 1 juta,> 30%,3.0,2.0,3.0,3.0,1.0,3.0,Tidak ada
252,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang",5-10 juta,1-5%,2.0,2.0,2.0,2.0,3.0,3.0,Tidak ada
253,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Investasi,10-15 juta,1-5%,3.0,3.0,3.0,2.0,4.0,3.0,Tidak ada
254,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",< 1 juta,> 30%,2.0,2.0,3.0,2.0,2.0,3.0,Tidak ada
255,Tabungan Regular,30-55 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Simpanan jangka panjang,15-20 juta,10-20%,3.0,3.0,3.0,2.0,2.0,3.0,Keamanan dan dapat ditarik
256,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Kegiatan sehari-hari",1-5 juta,5-10%,2.0,3.0,3.0,3.0,1.0,2.0,Tidak ada
257,Tabungan Berjangka,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,5-10 juta,10-20%,3.0,3.0,4.0,3.0,1.0,4.0,Tidak
258,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Kegiatan sehari-hari,10-15 juta,> 30%,4.0,4.0,4.0,4.0,4.0,4.0,Tidak ada
259,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Kegiatan sehari-hari, Lainnya",5-10 juta,5-10%,4.0,4.0,4.0,4.0,1.0,4.0,mudah digunakan dan fleksibel
260,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,> 30%,4.0,3.0,4.0,2.0,1.0,3.0,-
261,Tabungan Anak Muda,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Kegiatan sehari-hari",5-10 juta,10-20%,4.0,4.0,4.0,4.0,4.0,4.0,Tidak ada
262,Tabungan Anak Muda,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari, Lainnya",5-10 juta,10-20%,3.0,4.0,3.0,2.0,1.0,3.0,kepercayaan
263,Tabungan Online,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,> 30%,4.0,2.0,4.0,1.0,3.0,4.0,Convenience (untuk transfer secara lebih mudah)
264,Tabungan Anak Muda,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,> 30%,4.0,4.0,4.0,4.0,1.0,4.0,tidak
265,Tabungan Anak Muda,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,< 1 juta,5-10%,4.0,3.0,3.0,3.0,1.0,3.0,"Sebagai uang jaga"" dikala ada kebutuhan mendadak"
266,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,10-15 juta,1-5%,3.0,3.0,3.0,3.0,2.0,4.0,Tidak ada
267,Tabungan Regular,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,1-5%,3.0,3.0,4.0,2.0,2.0,3.0,"Keluarga saya semua memiliki tabungan di bank itu, jadi itu yang direkomendasikan ke saya (BCA)"
268,Tabungan Anak Muda,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,10-20%,3.0,2.0,3.0,3.0,2.0,3.0,Tidak ada
269,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,1-5%,4.0,3.0,3.0,3.0,1.0,3.0,Tidak ada
270,Tabungan Regular,30-55 tahun,Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,10-20%,3.0,2.0,4.0,2.0,2.0,3.0,Tidak ada
271,Tabungan Anak Muda,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Investasi,1-5 juta,10-20%,4.0,3.0,4.0,1.0,1.0,4.0,tidak ada
272,Tabungan Online,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari, Lainnya",5-10 juta,5-10%,4.0,4.0,4.0,4.0,4.0,4.0,Tidak ada
273,Tabungan Regular,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,> 30%,4.0,4.0,4.0,2.0,1.0,3.0,Tidak ada
274,Tabungan Anak Muda,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,10-20%,3.0,4.0,4.0,3.0,2.0,3.0,Tidak ada
275,Tabungan Berjangka,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Investasi, Kegiatan sehari-hari",1-5 juta,10-20%,4.0,4.0,1.0,4.0,2.0,3.0,Tidak ada
276,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Simpanan jangka panjang,10-15 juta,20-30%,3.0,3.0,3.0,3.0,2.0,3.0,Belum ada
277,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",10-15 juta,> 30%,4.0,4.0,4.0,3.0,3.0,4.0,Tidak ada
278,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,20-30%,4.0,4.0,4.0,4.0,1.0,4.0,Tidak ada
279,Tabungan Anak Muda,12-17 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Simpanan jangka panjang,1-5 juta,> 30%,4.0,3.0,4.0,2.0,2.0,3.0,Tidak ada
280,Tabungan Berjangka,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Simpanan jangka panjang,5-10 juta,1-5%,3.0,3.0,3.0,3.0,3.0,3.0,Tidak ada
281,Tabungan Regular,21-30 tahun,Non Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,> 30%,4.0,4.0,4.0,4.0,4.0,4.0,-
282,Tabungan Regular,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,> 30%,3.0,3.0,4.0,2.0,1.0,3.0,Tidak ada
283,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,5-10 juta,10-20%,3.0,3.0,3.0,2.0,1.0,3.0,Tidak ada
284,Tabungan Regular,30-55 tahun,Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Kegiatan sehari-hari,10-15 juta,10-20%,4.0,4.0,4.0,4.0,4.0,4.0,Kemudahan transaksi menggunakan e-channel
285,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,10-20%,4.0,3.0,4.0,4.0,1.0,4.0,tidak
286,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,1-5%,4.0,3.0,4.0,4.0,1.0,4.0,Tidak ada
287,Tabungan Regular,17-21 tahun,Non Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,> 30%,4.0,3.0,4.0,3.0,1.0,4.0,Tidak ada
288,Tabungan Online,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",15-20 juta,> 30%,3.0,4.0,3.0,2.0,1.0,3.0,aman
289,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,10-20%,4.0,4.0,4.0,3.0,1.0,3.0,tidak ada
290,Tabungan Regular,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,5-10 juta,10-20%,3.0,3.0,4.0,3.0,1.0,3.0,Tidak ada
291,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Simpanan jangka panjang,10-15 juta,10-20%,4.0,4.0,4.0,4.0,1.0,4.0,Tidak ada
292,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,5-10%,3.0,1.0,3.0,2.0,1.0,3.0,Tidak ada
293,Tabungan Regular,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Pelajar,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,> 30%,3.0,3.0,3.0,2.0,3.0,2.0,Tidak ada
294,Tabungan Pelajar,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Kegiatan sehari-hari",5-10 juta,10-20%,3.0,3.0,3.0,3.0,3.0,3.0,-
295,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Simpanan jangka panjang,5-10 juta,> 30%,4.0,3.0,4.0,3.0,2.0,4.0,Tidak ada
296,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,10-20%,4.0,4.0,4.0,4.0,1.0,4.0,-
297,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,> 30%,4.0,4.0,4.0,4.0,2.0,3.0,Kebutuhan Payroll Karyawan
298,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",10-15 juta,20-30%,4.0,4.0,4.0,4.0,1.0,4.0,penggunaan yang simple
299,Tabungan Online,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,> 30%,4.0,4.0,4.0,2.0,1.0,3.0,-
300,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,> 30%,3.0,3.0,4.0,3.0,1.0,4.0,Tidak ada
301,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,10-20%,3.0,3.0,4.0,3.0,1.0,4.0,Tidak ada
302,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,> 30%,4.0,3.0,4.0,4.0,1.0,4.0,"Kemudahan, kelengkapan akses"
303,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,10-20%,3.0,3.0,4.0,1.0,1.0,4.0,Tidak ada
304,Tabungan Regular,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,5-10 juta,> 30%,3.0,3.0,3.0,2.0,1.0,3.0,akreditasi bank yang sangat baik yang membuat saya percaya untuk menyimpan uang di bank tersebut dengan produk yang hampir semua orang pakai
305,Tabungan Berjangka,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Simpanan jangka panjang,5-10 juta,10-20%,4.0,4.0,4.0,3.0,1.0,4.0,"promo bank, kebetulan saat itu ada promo jika membuka tabungan akan mendapatkan souvenir"
306,Tabungan Pelajar,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Lainnya,Kegiatan sehari-hari,1-5 juta,1-5%,4.0,3.0,3.0,3.0,1.0,3.0,"Aman, karna sudha ada nama"
307,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,> 30%,4.0,4.0,4.0,2.0,2.0,3.0,Tidak ada
308,Tabungan Online,30-55 tahun,Non Jabodetabek,Perempuan,Kawin,Lainnya,Kegiatan sehari-hari,1-5 juta,1-5%,4.0,4.0,4.0,4.0,1.0,4.0,Mayoritas masyarakat menggunakan nya
309,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,1-5%,4.0,3.0,3.0,3.0,2.0,3.0,Tidak ada
310,Tabungan Valas,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Investasi, Lainnya",5-10 juta,1-5%,3.0,3.0,3.0,3.0,2.0,3.0,Awalnyaa untuk tabungan biaya hidup sehari2 ketika berkuliah di LN.
311,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,< 1 juta,10-20%,4.0,3.0,3.0,3.0,3.0,3.0,Tidak ada
312,Tabungan Berjangka,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Lainnya,Simpanan jangka panjang,5-10 juta,20-30%,3.0,4.0,4.0,3.0,2.0,4.0,Karena masih belum mengetahui akan digunakan apa uangnya selain digunakan menjadi kebutuhan sehari hari
313,Tabungan Berjangka,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang",5-10 juta,20-30%,4.0,4.0,4.0,4.0,1.0,4.0,Tidak ada
314,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,< 1 juta,20-30%,4.0,3.0,4.0,3.0,1.0,4.0,kebutuhan perkuliahan
315,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,1-5%,3.0,3.0,3.0,3.0,2.0,4.0,Tidak ada
316,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang",5-10 juta,5-10%,3.0,3.0,2.0,2.0,2.0,2.0,Tidak ada
317,Tabungan Anak Muda,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,> 30%,4.0,4.0,4.0,4.0,4.0,4.0,Tidak ada
318,Tabungan Pelajar,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Lainnya,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,20-30%,4.0,4.0,4.0,3.0,1.0,3.0,Tidak ada
319,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,5-10%,3.0,2.0,4.0,3.0,2.0,3.0,Tidak ada
320,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Lainnya,"Simpanan jangka panjang, Kegiatan sehari-hari",< 1 juta,10-20%,4.0,4.0,4.0,4.0,2.0,4.0,Tidak ada
321,Tabungan Anak Muda,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,5-10%,2.0,1.0,3.0,1.0,2.0,3.0,Terhubung akun asuransi
322,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,5-10%,3.0,3.0,4.0,4.0,1.0,4.0,Tidak ada
323,TabunganKu,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,20-30%,4.0,4.0,4.0,1.0,2.0,3.0,Tidak ada
324,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Kegiatan sehari-hari",1-5 juta,10-20%,3.0,3.0,3.0,3.0,3.0,3.0,Karena sudah umum digunakan
325,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,10-20%,4.0,3.0,3.0,4.0,1.0,4.0,- 
326,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,Simpanan jangka panjang,5-10 juta,20-30%,4.0,3.0,3.0,3.0,1.0,3.0,Tidak ada
327,Tabungan Online,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",10-15 juta,> 30%,3.0,1.0,4.0,3.0,2.0,3.0,Tabungan dapat di kategorikan
328,Tabungan Anak Muda,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,> 30%,4.0,4.0,4.0,3.0,1.0,4.0,Proses pembukaan rekening yang mudah
329,Tabungan Regular,21-30 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,< 1 juta,1-5%,3.0,3.0,3.0,3.0,2.0,4.0,Karena keamanannya
330,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,5-10%,4.0,3.0,4.0,3.0,2.0,3.0,Tidak ada
331,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,1-5%,4.0,3.0,3.0,3.0,2.0,3.0,mudah dan praktis
332,Tabungan Premium,21-30 tahun,Non Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,10-20%,4.0,4.0,4.0,4.0,2.0,4.0,Tidak ada
333,Tabungan Medium,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Lainnya,Simpanan jangka panjang,5-10 juta,> 30%,4.0,3.0,4.0,2.0,1.0,3.0,"Kemudahan akses mengecek saldo, dan melakukan transaksi tanpa harus pergi ke bank"
334,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,> 30%,4.0,4.0,4.0,4.0,1.0,4.0,-
335,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,10-20%,3.0,4.0,4.0,4.0,1.0,4.0,Sebenernya lebih ke waktu awal taunya reguler aja dan gabanyak tau ttg jenis jenis yg ada
336,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,> 30%,3.0,3.0,3.0,1.0,1.0,3.0,Tidak ada
337,Tabungan Pelajar,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Kegiatan sehari-hari",1-5 juta,0%,4.0,3.0,4.0,3.0,3.0,3.0,Tidak ada
338,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,> 30%,4.0,4.0,4.0,4.0,1.0,4.0,Keamanan
339,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,10-20%,3.0,3.0,3.0,2.0,1.0,3.0,Tidak ada
340,Tabungan Anak Muda,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,< 1 juta,1-5%,3.0,3.0,3.0,3.0,1.0,3.0,karena pada awalnya untuk bayar ukt kuliah mengharuskan dari bank yang sama 
341,Tabungan Anak Muda,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,5-10 juta,> 30%,3.0,3.0,3.0,2.0,1.0,3.0,Mudah digunakan dan aksesnya
342,TabunganKu,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,10-20%,3.0,2.0,3.0,2.0,1.0,4.0,"Lebih simpel, bisa diakses pakai hp karena uda digital bisa tracking gampang, merasa aman juga karena simpen di bca"
